s	arp
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	1
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2.0	0
2.1	1
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	0
2.8	0
2.9	0
3.0	0
3.1	1
3.2	0
3.3	0
3.4	0
3.5	0
3.6	0
3.7	0
3.8	0
3.9	0
4.0	0
4.1	1
4.2	0
4.3	0
4.4	0
4.5	0
4.6	0
4.7	0
4.8	0
4.9	0
5.0	0
5.1	881
5.2	890
5.3	907
5.4	885
5.5	906
5.6	885
5.7	888
5.8	916
5.9	887
6.0	912
6.1	1792
6.2	1866
6.3	1829
6.4	1873
6.5	1891
6.6	1769
6.7	1748
6.8	1747
6.9	1769
7.0	1786
7.1	1676
7.2	1623
7.3	1577
7.4	1564
7.5	1687
7.6	1678
7.7	1621
7.8	1749
7.9	1612
8.0	1732
8.1	1541
8.2	1588
8.3	1584
8.4	1599
8.5	1564
8.6	1586
8.7	1616
8.8	1579
8.9	1593
9.0	1576
9.1	1497
9.2	1575
9.3	1518
9.4	1496
9.5	1492
9.6	1522
9.7	1501
9.8	1626
9.9	1569
10.0	1575
10.1	1522
10.2	1425
10.3	1472
10.4	1383
10.5	1514
10.6	1552
10.7	1446
10.8	1595
10.9	1642
11.0	1440
11.1	1448
11.2	311
11.3	254
11.4	550
11.5	593
11.6	501
11.7	478
11.8	564
11.9	448
12.0	116
12.1	309
12.2	360
12.3	332
12.4	191
12.5	267
12.6	213
12.7	183
12.8	191
12.9	197
13.0	152
13.1	165
13.2	180
13.3	243
13.4	198
13.5	214
13.6	150
13.7	215
13.8	204
13.9	174
14.0	143
14.1	164
14.2	200
14.3	233
14.4	179
14.5	159
14.6	183
14.7	216
14.8	218
14.9	213
15.0	218
15.1	159
15.2	167
15.3	135
15.4	139
15.5	165
15.6	122
15.7	152
15.8	172
15.9	143
16.0	136
16.1	158
16.2	52
16.3	41
16.4	167
16.5	161
16.6	125
16.7	182
16.8	136
16.9	156
17.0	18
17.1	167
17.2	167
17.3	137
17.4	169
17.5	182
17.6	136
17.7	197
17.8	206
17.9	160
18.0	181
18.1	209
18.2	181
18.3	176
18.4	187
18.5	217
18.6	224
18.7	167
18.8	153
18.9	200
19.0	170
19.1	167
19.2	170
19.3	184
19.4	148
19.5	151
19.6	135
19.7	141
19.8	160
19.9	171
20.0	157
20.1	173
20.2	149
20.3	145
20.4	148
20.5	167
20.6	161
20.7	162
20.8	147
20.9	164
21.0	172
21.1	192
21.2	56
21.3	71
21.4	536
21.5	517
21.6	521
21.7	562
21.8	518
21.9	500
22.0	116
22.1	439
22.2	477
22.3	499
22.4	514
22.5	501
22.6	528
22.7	548
22.8	522
22.9	516
23.0	458
23.1	461
23.2	468
23.3	454
23.4	381
23.5	427
23.6	497
23.7	439
23.8	425
23.9	389
24.0	344
24.1	380
24.2	419
24.3	402
24.4	389
24.5	370
24.6	400
24.7	378
24.8	391
24.9	338
25.0	382
