s	arp
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2.0	0
2.1	0
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	0
2.8	0
2.9	0
3.0	0
3.1	0
3.2	0
3.3	0
3.4	0
3.5	0
3.6	0
3.7	0
3.8	0
3.9	0
4.0	0
4.1	0
4.2	0
4.3	0
4.4	0
4.5	0
4.6	0
4.7	0
4.8	0
4.9	0
5.0	0
5.1	0
5.2	0
5.3	0
5.4	0
5.5	0
5.6	0
5.7	0
5.8	0
5.9	0
6.0	1
6.1	0
6.2	0
6.3	0
6.4	0
6.5	0
6.6	0
6.7	0
6.8	0
6.9	0
7.0	1
7.1	0
7.2	0
7.3	0
7.4	0
7.5	0
7.6	0
7.7	0
7.8	0
7.9	0
8.0	1
8.1	0
8.2	0
8.3	0
8.4	0
8.5	0
8.6	0
8.7	0
8.8	0
8.9	0
9.0	1
9.1	0
9.2	0
9.3	0
9.4	0
9.5	0
9.6	0
9.7	0
9.8	0
9.9	0
10.0	1
10.1	0
10.2	0
10.3	0
10.4	0
10.5	0
10.6	0
10.7	0
10.8	0
10.9	0
11.0	1
11.1	0
11.2	0
11.3	0
11.4	0
11.5	0
11.6	0
11.7	0
11.8	0
11.9	0
12.0	1
12.1	0
12.2	0
12.3	0
12.4	0
12.5	0
12.6	0
12.7	0
12.8	0
12.9	0
13.0	1
13.1	0
13.2	0
13.3	0
13.4	0
13.5	0
13.6	0
13.7	0
13.8	0
13.9	0
14.0	1
14.1	0
14.2	0
14.3	0
14.4	0
14.5	0
14.6	0
14.7	0
14.8	0
14.9	0
15.0	1
15.1	0
15.2	0
15.3	0
15.4	0
15.5	0
15.6	0
15.7	0
15.8	0
15.9	0
16.0	1
16.1	0
16.2	0
16.3	0
16.4	0
16.5	0
16.6	0
16.7	0
16.8	0
16.9	0
17.0	1
17.1	0
17.2	0
17.3	0
17.4	0
17.5	0
17.6	0
17.7	0
17.8	0
17.9	0
18.0	1
18.1	0
18.2	0
18.3	0
18.4	0
18.5	0
18.6	0
18.7	0
18.8	0
18.9	0
19.0	1
19.1	0
19.2	0
19.3	0
19.4	0
19.5	0
19.6	0
19.7	0
19.8	0
19.9	0
20.0	1
20.1	0
20.2	0
20.3	0
20.4	0
20.5	0
20.6	0
20.7	0
20.8	0
20.9	0
21.0	1
21.1	0
21.2	0
21.3	0
21.4	0
21.5	0
21.6	0
21.7	0
21.8	0
21.9	0
22.0	1
22.1	0
22.2	0
22.3	0
22.4	0
22.5	0
22.6	0
22.7	0
22.8	0
22.9	0
23.0	1
23.1	0
23.2	0
23.3	0
23.4	0
23.5	0
23.6	0
23.7	0
23.8	0
23.9	0
24.0	690
24.1	889
24.2	900
24.3	903
24.4	898
24.5	911
24.6	919
24.7	894
24.8	928
24.9	890
25.0	1639
25.1	1877
25.2	1869
25.3	1863
25.4	1859
25.5	1862
25.6	1774
25.7	1730
25.8	1808
25.9	1900
26.0	1637
26.1	1586
26.2	1680
26.3	1612
26.4	1583
26.5	1731
26.6	1604
26.7	1669
26.8	1660
26.9	1552
27.0	1601
27.1	1405
27.2	1496
27.3	1437
27.4	1483
27.5	1397
27.6	1580
27.7	1495
27.8	1425
27.9	1477
28.0	1488
28.1	1509
28.2	1402
28.3	1437
28.4	1437
28.5	1484
28.6	1430
28.7	1461
28.8	1521
28.9	1501
29.0	1406
29.1	1389
29.2	1255
29.3	1252
29.4	1327
29.5	1331
29.6	1328
29.7	1295
29.8	1239
29.9	1236
30.0	1225
30.1	1200
30.2	1206
30.3	1179
30.4	1225
30.5	1260
30.6	1236
30.7	1206
30.8	1096
30.9	1121
31.0	1268
31.1	1225
31.2	1273
31.3	1317
31.4	1326
31.5	1269
31.6	1283
31.7	1305
31.8	1342
31.9	1223
32.0	1383
32.1	1428
32.2	1342
32.3	1446
32.4	1372
32.5	1364
32.6	1292
32.7	1400
32.8	1346
32.9	1348
33.0	1364
33.1	1336
33.2	1292
33.3	1150
33.4	1293
33.5	1349
33.6	1171
33.7	1215
33.8	1222
33.9	1159
34.0	1123
34.1	1036
34.2	1051
34.3	974
34.4	1083
34.5	1250
34.6	1256
34.7	1148
34.8	1054
34.9	1217
35.0	1115
35.1	1063
35.2	1118
35.3	922
35.4	972
35.5	1024
35.6	1093
35.7	950
35.8	967
35.9	957
36.0	940
36.1	1071
36.2	1181
36.3	1051
36.4	841
36.5	1045
36.6	960
36.7	1043
36.8	803
36.9	862
37.0	834
