s	arp
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1.0	0
1.1	1
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2.0	0
2.1	1
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	0
2.8	0
2.9	0
3.0	0
3.1	1
3.2	0
3.3	0
3.4	0
3.5	0
3.6	0
3.7	0
3.8	0
3.9	0
4.0	0
4.1	921
4.2	844
4.3	892
4.4	898
4.5	899
4.6	900
4.7	924
4.8	931
4.9	886
5.0	896
5.1	1828
5.2	1860
5.3	1843
5.4	1765
5.5	1917
5.6	1929
5.7	1907
5.8	1906
5.9	1767
6.0	1834
6.1	1662
6.2	1605
6.3	1566
6.4	1625
6.5	1613
6.6	1651
6.7	1647
6.8	1649
6.9	1670
7.0	1654
7.1	1593
7.2	1567
7.3	1544
7.4	1575
7.5	1511
7.6	1551
7.7	1519
7.8	1525
7.9	1565
8.0	1492
8.1	1493
8.2	1528
8.3	1574
8.4	1546
8.5	1576
8.6	1530
8.7	1545
8.8	1546
8.9	1500
9.0	1515
9.1	1458
9.2	1552
9.3	1654
9.4	1651
9.5	1674
9.6	1644
9.7	1660
9.8	1600
9.9	1566
10.0	1563
10.1	1617
10.2	1435
10.3	1520
10.4	1633
10.5	1657
10.6	1636
10.7	1632
10.8	1628
10.9	1671
11.0	1672
11.1	1532
11.2	1477
11.3	1471
11.4	1661
11.5	1677
11.6	1685
11.7	1727
11.8	1720
11.9	1620
12.0	1443
12.1	1438
12.2	1538
12.3	1416
12.4	1472
12.5	1463
12.6	1470
12.7	1423
12.8	1437
12.9	1522
13.0	1383
13.1	1445
13.2	1500
13.3	1476
13.4	1397
13.5	1384
13.6	1376
13.7	1440
13.8	1453
13.9	1362
14.0	1400
14.1	1311
14.2	1443
14.3	1368
14.4	1335
14.5	1372
14.6	1307
14.7	1382
14.8	1409
14.9	1364
15.0	1441
15.1	1296
15.2	1245
15.3	1214
15.4	1322
15.5	1279
15.6	1356
15.7	1356
15.8	1424
15.9	1251
16.0	1309
16.1	1267
16.2	1278
16.3	1341
16.4	1344
16.5	1327
16.6	1304
16.7	1260
16.8	1313
16.9	1206
17.0	1348
17.1	1365
17.2	1276
17.3	1355
17.4	1332
17.5	1237
17.6	1321
17.7	1308
17.8	1276
17.9	1266
18.0	1355
18.1	1346
18.2	1285
18.3	1149
18.4	1280
18.5	1172
18.6	1197
18.7	1215
18.8	1211
18.9	1215
19.0	1216
19.1	1148
19.2	1216
19.3	1137
19.4	1168
19.5	1282
19.6	1216
19.7	1171
19.8	1169
19.9	1149
20.0	1171
20.1	1192
20.2	1161
20.3	1139
20.4	1153
20.5	1121
20.6	1161
20.7	1124
20.8	1110
20.9	1162
21.0	1079
21.1	1150
21.2	1187
21.3	1069
21.4	1134
21.5	1062
21.6	1175
21.7	1151
21.8	1072
21.9	1157
22.0	1091
22.1	1102
22.2	993
22.3	1128
22.4	1022
22.5	1109
22.6	1138
22.7	1037
22.8	1034
22.9	1035
23.0	981
23.1	970
23.2	1126
23.3	1054
23.4	1072
23.5	1082
23.6	1051
23.7	1105
23.8	998
23.9	1048
24.0	1082
24.1	1144
24.2	1082
24.3	1024
24.4	1041
24.5	1003
24.6	1017
24.7	1115
24.8	1109
24.9	1048
25.0	1156
25.1	1115
25.2	1158
25.3	1164
25.4	1046
25.5	1175
25.6	1162
25.7	1130
25.8	1051
25.9	1132
26.0	1104
26.1	1261
26.2	1103
26.3	1094
26.4	994
26.5	1034
26.6	1100
26.7	1114
26.8	1107
26.9	1086
27.0	1062
27.1	1169
27.2	1087
27.3	1114
27.4	1179
27.5	1020
27.6	1139
27.7	971
27.8	928
27.9	1069
28.0	965
28.1	1108
28.2	1010
28.3	1078
28.4	1120
28.5	1113
28.6	1032
28.7	1155
28.8	1089
28.9	1022
29.0	980
29.1	1104
29.2	1011
29.3	989
29.4	1003
29.5	1000
29.6	967
29.7	1114
29.8	997
29.9	980
30.0	1105
30.1	1062
30.2	1060
30.3	1147
30.4	1026
30.5	1087
30.6	1144
30.7	1061
30.8	1127
30.9	1031
31.0	1104
31.1	1061
31.2	1048
31.3	952
31.4	1069
31.5	1029
31.6	1083
31.7	999
31.8	990
31.9	1003
32.0	1077
32.1	1100
32.2	1031
32.3	1111
32.4	988
32.5	1006
32.6	1091
32.7	917
32.8	1011
32.9	1051
33.0	999
33.1	1018
33.2	1006
33.3	1127
33.4	1130
33.5	1211
33.6	378
33.7	0
33.8	0
33.9	0
34.0	0
