s	arp
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	1
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	881
52	890
53	907
54	885
55	906
56	885
57	888
58	916
59	887
60	912
61	1792
62	1866
63	1829
64	1873
65	1891
66	1769
67	1748
68	1747
69	1769
70	1786
71	1676
72	1623
73	1577
74	1564
75	1687
76	1678
77	1621
78	1749
79	1612
80	1732
81	1541
82	1588
83	1584
84	1599
85	1564
86	1586
87	1616
88	1579
89	1593
90	1576
91	1497
92	1575
93	1518
94	1496
95	1492
96	1522
97	1501
98	1626
99	1569
100	1575
101	1522
102	1425
103	1472
104	1383
105	1514
106	1552
107	1446
108	1595
109	1642
110	1440
111	1448
112	311
113	254
114	550
115	593
116	501
117	478
118	564
119	448
120	116
121	309
122	360
123	332
124	191
125	267
126	213
127	183
128	191
129	197
130	152
131	165
132	180
133	243
134	198
135	214
136	150
137	215
138	204
139	174
140	143
141	164
142	200
143	233
144	179
145	159
146	183
147	216
148	218
149	213
150	218
151	159
152	167
153	135
154	139
155	165
156	122
157	152
158	172
159	143
160	136
161	158
162	52
163	41
164	167
165	161
166	125
167	182
168	136
169	156
170	18
171	167
172	167
173	137
174	169
175	182
176	136
177	197
178	206
179	160
180	181
181	209
182	181
183	176
184	187
185	217
186	224
187	167
188	153
189	200
190	170
191	167
192	170
193	184
194	148
195	151
196	135
197	141
198	160
199	171
200	157
201	173
202	149
203	145
204	148
205	167
206	161
207	162
208	147
209	164
210	172
211	192
212	56
213	71
214	536
215	517
216	521
217	562
218	518
219	500
220	116
221	439
222	477
223	499
224	514
225	501
226	528
227	548
228	522
229	516
230	458
231	461
232	468
233	454
234	381
235	427
236	497
237	439
238	425
239	389
240	344
241	380
242	419
243	402
244	389
245	370
246	400
247	378
248	391
249	338
250	382
