s	p
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	1
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	1
49	0
50	0
51	2
52	0
53	0
54	0
55	0
56	0
57	0
58	1
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	1
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	313
79	923
80	896
81	923
82	889
83	901
84	898
85	925
86	899
87	892
88	1221
89	1863
90	1811
91	1865
92	1884
93	1891
94	1901
95	1875
96	1890
97	1847
98	1821
99	1640
100	1677
101	1305
102	1005
103	980
104	986
105	1026
106	1020
107	1007
108	1001
109	1042
110	1056
111	917
112	825
113	781
114	800
115	856
116	818
117	834
118	831
119	798
120	775
121	768
122	689
123	812
124	716
125	680
126	722
127	704
128	848
129	706
130	713
131	688
132	800
133	737
134	741
135	719
136	808
137	836
138	945
139	935
140	883
141	779
142	795
143	977
144	954
145	883
146	954
147	914
148	915
149	1004
150	987
151	994
152	870
153	946
154	914
155	956
156	930
157	959
158	887
159	1025
160	767
161	790
162	875
163	1047
164	997
165	932
166	950
167	992
168	1046
169	1086
170	1054
171	1034
172	853
173	834
174	836
175	817
176	805
177	824
178	811
179	939
180	834
181	917
182	1022
183	859
184	893
185	831
186	874
187	946
188	1069
189	980
190	934
191	881
192	886
193	801
194	744
195	781
196	769
197	818
198	773
199	790
200	736
201	756
202	736
203	717
204	658
205	638
206	655
207	643
208	681
209	644
210	627
211	695
212	586
213	645
214	560
215	575
216	569
217	657
218	605
219	588
220	591
221	633
222	861
223	911
224	853
225	951
226	941
227	906
228	850
229	929
230	882
231	242
232	0
233	0
234	0
235	0
236	0
237	0
238	1
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	1
249	0
250	0
